neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
1,32,0,64,5,1,1,0
1,134,0,90,3,6,2,0
1,118,0,50,1,2,1,0
4,74,1,44,1,4,1,322
4,121,0,85,6,4,1,0
0,89,0,129,1,14,1,0
9,116,0,50,1,1,3,357
5,102,1,19,1,2,1,0
4,74,1,20,2,4,1,0
0,120,0,48,4,1,1,0
1,52,1,30,2,6,1,0
6,90,0,33,6,4,1,0
6,122,1,20,3,5,1,0
1,32,0,50,4,3,1,0
10,63,0,60,3,27,1,274
0,42,0,42,60,1,9,279
4,18,0,48,1,31,1,264
5,102,0,57,5,12,1,75
5,101,1,35,2,34,3,0
1,118,0,169,2,31,1,0
1,115,1,23,3,1,1,0
5,102,1,25,3,2,1,0
1,53,1,33,2,2,1,0
4,119,1,25,3,1,3,0
5,16,1,16,7,3,1,8
1,30,0,54,5,18,1,39
1,30,1,29,1,6,1,129
1,32,1,37,2,73,1,163
4,17,1,35,10,9,1,0
1,135,1,50,4,2,2,360
5,105,1,25,2,1,1,0
4,73,1,50,3,8,1,0
10,117,0,22,4,5,1,0
6,90,0,80,3,128,2,269
6,94,1,28,4,10,1,332
1,32,0,56,4,3,1,0
5,102,0,45,1,2,1,0
1,134,0,120,2,15,1,344
6,95,0,170,4,19,1,96
6,97,0,85,2,12,1,0
11,99,0,35,14,2,1,191
6,90,0,70,3,126,2,342
6,122,1,40,6,7,1,0
1,115,0,100,3,30,1,0
4,74,1,60,1,2,1,0
4,2,0,129,2,1,5,346
1,53,0,84,2,8,1,0
1,135,1,25,7,3,1,0
7,124,0,74,2,52,1,327
4,2,0,80,1,6,5,339
4,18,1,90,5,25,2,310
4,74,0,87,5,53,1,339
6,97,1,49,2,12,1,0
10,110,1,30,2,90,1,2
10,117,0,240,4,36,4,335
1,118,0,70,3,1,1,0
10,111,1,30,5,6,2,0
4,85,1,19,3,3,1,0
4,85,1,25,1,1,1,0
6,90,1,38,2,11,1,89
1,32,1,30,3,5,1,0
6,98,1,49,2,210,1,8
1,118,0,120,4,12,1,0
5,105,0,97,7,1,1,0
5,105,0,89,2,8,1,220
6,91,0,45,1,7,1,233
1,53,1,75,4,13,1,251
6,97,0,90,7,1,1,0
4,2,0,50,5,3,1,0
4,85,1,26,7,2,1,0
9,1,1,29,2,5,1,0
4,74,1,50,2,1,1,0
5,101,1,30,1,4,2,0
10,111,0,55,2,42,1,169
4,121,1,20,7,2,1,0
6,122,1,24,2,49,1,109
0,106,1,30,3,9,2,0
1,118,1,24,1,8,2,0
4,121,1,40,2,5,1,0
6,96,1,24,7,1,1,0
1,134,0,45,1,3,1,0
10,111,1,30,7,5,1,20
4,18,0,110,1,136,1,79
5,102,1,24,1,1,1,0
9,88,0,100,5,9,1,0
5,101,1,35,1,6,2,0
4,18,0,49,3,60,1,158
1,52,0,40,1,1,1,0
10,117,1,20,1,12,4,0
11,4,0,65,4,3,1,0
1,135,1,45,7,2,1,0
4,92,0,26,12,2,1,0
5,101,1,38,3,5,2,0
1,30,0,30,2,2,1,0
0,120,0,30,14,4,1,0
1,135,1,20,7,3,1,0
1,30,1,25,7,3,1,0
1,118,0,59,1,252,6,292
1,30,1,40,2,33,1,4
4,73,0,95,3,10,2,138
5,101,0,55,1,5,1,0
5,101,1,15,3,2,2,0
1,135,1,25,2,2,2,0
1,32,0,120,2,12,1,0
9,88,0,38,1,14,1,0
1,118,1,25,3,12,1,0
4,2,1,40,1,1,2,0
1,115,0,80,4,2,1,0
4,74,1,27,7,1,1,0
4,73,1,35,5,2,1,0
1,118,1,65,2,1,1,0
4,73,0,45,30,4,3,67
10,110,1,35,2,46,1,260
1,30,0,52,5,2,1,0
6,90,0,130,3,14,4,7
6,49,2,98,3,6,1,0
6,91,1,30,4,17,4,0
10,117,0,270,4,50,4,335
10,117,0,210,4,32,4,343
10,110,0,35,1,1,1,0
4,18,0,55,5,14,1,0
4,18,0,75,4,3,1,32
4,85,1,25,3,5,1,0
6,14,0,80,3,22,1,0
5,80,0,58,2,1,1,0
0,57,0,73,3,99,2,153
5,101,0,50,2,10,1,0
6,97,1,50,1,70,1,353
1,30,1,44,2,7,1,0
1,30,1,30,5,10,1,4
6,94,0,55,3,103,1,37
6,49,0,50,4,31,1,0
0,27,1,55,4,4,1,0
6,95,1,35,1,18,1,0
5,101,1,30,2,7,1,0
1,32,0,75,3,2,1,0
6,49,0,80,4,3,1,0
10,110,0,50,2,4,3,0
4,2,0,99,3,1,1,0
6,97,0,100,6,12,1,0
6,96,1,34,1,5,1,335
5,102,0,72,8,4,1,0
6,98,1,48,3,4,2,0
4,121,0,32,4,7,1,0
1,118,1,47,2,205,2,78
4,121,1,30,4,21,1,0
1,135,1,33,2,35,1,22
6,98,1,23,14,2,1,0
4,18,1,120,4,6,1,0
4,92,0,46,2,8,2,0
6,90,1,16,1,26,1,84
6,98,1,39,1,103,1,110
1,118,0,45,7,6,1,0
5,80,1,34,2,9,1,310
5,105,0,34,1,1,1,0
4,92,0,70,1,2,1,0
1,115,1,18,4,1,1,0
5,102,0,60,2,6,1,0
1,30,1,80,25,15,1,90
6,96,1,40,1,1,1,310
10,111,0,165,6,20,1,175
1,32,1,35,1,148,3,262
4,2,0,65,2,20,1,0
10,110,1,45,2,11,1,0
1,53,0,59,3,1,1,0
6,94,1,45,70,4,1,252
5,101,1,35,3,11,1,0
1,134,1,35,1,3,1,0
6,95,0,120,1,6,1,0
10,33,0,70,14,1,1,0
1,32,1,25,2,1,1,0
1,30,0,50,2,4,1,0
6,94,0,55,3,12,1,0
6,97,1,46,1,1,1,0
1,32,0,28,7,3,1,0
1,118,1,20,2,1,1,0
10,110,0,36,5,2,3,0
4,18,1,48,2,1,2,335
6,97,1,85,1,2,1,0
6,95,0,27,4,7,2,0
4,85,0,45,5,1,1,0
0,79,1,24,1,2,1,0
0,51,0,80,3,43,2,110
4,92,1,20,3,2,1,0
1,32,1,32,2,12,1,251
4,121,0,40,3,22,1,24
1,134,0,79,6,1,1,0
1,118,0,59,1,30,1,178
5,105,1,26,3,5,1,0
4,85,1,22,3,13,1,0
1,118,0,59,1,223,5,307
5,80,0,53,2,107,5,347
5,80,1,42,3,16,1,59
4,17,0,36,1,1,1,0
5,101,1,20,12,5,1,0
1,118,0,74,4,9,1,0
6,98,0,50,1,33,1,0
5,102,1,40,1,2,1,0
6,14,1,28,1,13,2,270
1,118,1,33,4,2,1,0
0,51,1,25,5,10,5,0
0,79,1,25,1,5,5,0
1,32,0,50,5,1,1,0
6,122,1,75,3,19,1,14
6,49,0,70,1,2,1,0
0,120,1,90,14,1,1,88
1,118,0,55,7,1,1,0
4,121,0,29,2,8,1,0
8,43,0,210,2,10,2,212
1,52,0,50,1,2,1,0
6,97,0,50,4,3,1,0
4,18,0,135,3,27,1,0
6,95,0,35,1,2,1,0
1,115,1,35,3,1,1,0
4,119,0,200,2,76,2,145
11,4,0,50,1,1,1,0
1,30,0,59,6,2,1,0
6,94,2,30,1,45,1,330
10,63,0,57,2,19,1,271
10,111,1,70,1,11,1,90
0,51,1,30,1,1,1,0
1,135,0,89,2,19,1,360
1,32,1,30,6,10,1,167
6,95,1,25,115,4,2,113
6,94,0,49,3,25,1,5
4,18,0,275,2,37,1,0
0,72,0,75,2,19,1,252
6,95,0,45,15,1,1,0
5,102,1,60,2,6,1,0
1,118,1,30,2,10,2,0
1,30,0,70,3,1,1,0
10,110,1,35,13,2,1,0
5,102,1,20,10,2,1,0
5,105,0,30,7,3,1,0
4,85,0,80,5,1,1,0
6,97,0,32,10,1,1,0
6,94,0,55,6,1,1,0
4,18,1,26,1,1,1,0
5,101,1,28,3,25,1,4
1,115,0,110,3,108,1,112
4,92,1,25,10,28,2,68
1,53,1,31,4,4,1,0
4,2,1,50,1,1,1,0
4,74,1,25,1,22,1,108
5,101,1,39,3,1,1,0
4,2,1,50,2,71,1,0
4,92,0,55,2,7,1,0
10,33,1,36,2,11,1,0
5,101,1,30,1,3,1,0
2,7,0,60,3,1,1,0
1,30,0,95,4,14,1,360
1,118,0,92,2,139,1,325
1,32,1,30,4,3,1,0
0,27,0,50,1,2,1,0
1,118,1,23,6,3,1,0
1,32,0,99,1,1,1,0
1,32,0,40,2,3,1,0
6,98,0,60,2,9,1,0
5,102,0,35,2,13,1,0
5,101,0,78,3,4,1,0
1,32,1,17,2,2,1,0
1,135,1,37,3,33,2,341
5,80,1,32,1,3,2,0
4,74,1,19,1,7,1,4
5,102,1,30,1,3,1,0
10,110,1,45,4,91,2,230
5,80,1,32,4,21,2,0
5,101,0,62,4,3,1,0
4,74,1,25,2,5,2,0
1,118,1,30,1,8,1,0
1,32,1,38,5,6,1,0
10,110,0,40,2,2,1,0
1,32,1,17,7,2,1,0
4,92,1,26,2,11,1,0
4,92,1,20,1,2,1,0
6,98,1,19,5,1,1,0
1,32,0,65,2,43,1,0
5,101,1,58,3,2,1,0
6,49,0,120,2,5,1,0
9,1,1,20,1,2,1,0
5,101,1,30,5,25,1,235
1,30,1,30,1,8,1,0
11,81,0,40,4,2,1,10
11,4,1,19,73,3,1,0
0,79,1,40,1,23,1,0
5,101,1,39,1,2,1,0
6,94,0,50,5,3,1,0
4,2,1,48,3,4,1,6
3,56,0,33,62,1,1,224
1,134,1,24,2,6,1,0
10,111,1,26,2,10,1,310
4,74,1,20,1,1,1,0
5,105,0,40,1,2,1,0
6,96,1,22,3,8,3,0
0,89,1,59,2,7,1,341
0,51,0,199,2,38,1,318
1,134,0,98,1,3,3,0
5,102,1,29,5,10,2,66
1,134,1,69,4,46,1,322
5,102,0,48,1,3,1,0
1,135,1,50,2,1,2,0
6,95,0,150,2,21,1,261
6,96,1,30,5,3,3,0
4,2,0,77,2,8,1,0
6,97,0,150,7,2,2,208
1,53,0,84,3,69,2,107
5,101,0,80,2,3,1,0
1,134,1,45,1,1,3,0
1,30,1,28,2,42,1,137
1,134,0,70,1,2,1,0
10,111,0,35,3,33,1,65
5,102,1,27,48,4,1,66
6,94,0,79,5,1,1,0
4,92,1,25,1,6,1,0
6,49,0,75,3,2,1,0
1,135,1,30,4,4,2,0
5,101,0,45,2,3,1,0
1,32,1,30,1,2,1,0
5,80,1,30,2,12,2,0
6,97,1,150,2,4,1,214
1,32,1,35,1,10,1,0
10,111,0,90,7,7,1,0
6,97,0,32,5,6,2,0
5,105,1,25,3,3,1,0
4,2,1,46,3,252,2,42
5,80,1,25,1,6,1,0
5,101,1,150,2,2,2,0
5,101,1,22,3,2,1,0
10,110,1,55,4,101,2,220
6,94,1,60,5,3,1,0
1,135,1,40,3,7,1,0
1,135,0,95,3,8,1,0
5,101,0,55,4,5,1,0
6,95,1,40,3,12,1,0
1,52,0,101,2,10,1,0
6,94,0,38,2,4,1,0
5,105,0,43,3,3,1,0
1,134,0,52,3,1,1,0
5,105,1,25,2,15,1,0
4,121,0,72,2,7,1,0
4,74,1,28,1,4,2,0
1,53,1,30,12,3,1,0
5,102,0,50,3,14,1,1
4,121,0,46,60,2,2,190
4,121,1,20,1,1,1,0
6,95,1,32,3,1,1,0
6,97,0,49,1,6,1,0
4,85,1,30,1,40,1,257
5,101,0,82,5,3,1,0
6,49,1,21,3,4,2,0
1,32,0,44,1,2,1,0
6,96,0,58,3,28,1,0
4,121,1,25,1,1,1,0
1,52,1,49,2,12,1,0
5,102,1,20,3,2,1,0
4,18,1,35,4,1,1,0
5,101,0,43,4,2,1,0
0,106,0,50,2,4,1,0
5,101,1,28,3,1,1,0
4,74,1,22,4,2,1,0
0,106,1,36,1,216,3,354
0,106,1,33,1,271,3,333
4,2,1,35,2,5,1,259
5,102,1,59,2,8,1,0
1,134,1,80,2,6,2,0
4,2,0,100,2,120,1,113
5,80,0,59,3,10,1,0
1,32,1,47,5,15,1,279
5,102,1,59,3,15,1,132
4,2,1,39,1,271,1,83
10,110,0,50,21,2,1,0
6,91,1,28,5,1,1,0
5,101,1,25,3,4,1,0
6,96,1,100,4,6,1,0
8,19,0,80,3,16,1,361
1,30,0,105,3,91,2,299
0,106,1,33,1,242,3,347
4,85,0,55,1,8,1,0
5,105,0,60,1,8,1,0
5,102,0,55,5,11,1,0
4,121,1,20,14,1,1,0
1,30,0,80,7,1,1,0
5,80,1,25,1,1,1,0
11,4,1,150,3,11,1,0
6,96,0,65,7,1,1,190
1,135,0,89,2,4,1,0
5,80,1,22,3,2,1,0
1,118,1,22,3,3,1,0
2,7,0,59,2,2,1,190
4,18,0,100,1,2,1,0
6,49,1,34,2,148,1,10
11,81,1,23,4,74,3,84
4,119,0,45,2,28,1,202
5,80,1,20,1,3,1,0
5,102,1,24,2,4,1,0
1,134,1,30,4,7,1,0
6,95,0,40,3,5,1,0
4,18,0,80,3,8,1,0
8,19,1,39,1,16,1,310
1,135,0,45,1,2,1,0
5,102,1,23,3,1,1,0
6,95,0,45,1,9,1,15
5,101,1,35,3,5,2,0
10,110,1,38,5,8,2,0
1,30,1,35,2,42,1,358
5,80,0,50,4,4,1,0
1,118,1,62,1,116,2,25
5,102,1,33,4,8,2,0
5,80,0,70,3,19,1,0
1,32,0,69,3,118,2,228
4,74,1,31,7,10,1,0
4,121,0,38,20,1,2,0
5,101,1,22,2,9,1,0
0,51,0,69,4,4,1,0
1,32,1,30,2,25,1,0
5,102,1,26,6,14,3,0
1,32,1,36,1,12,1,0
6,96,1,48,2,3,1,0
1,32,1,75,1,1,1,0
1,134,0,98,4,65,2,0
1,32,0,75,1,50,6,242
4,18,1,25,5,4,1,0
0,72,0,29,5,58,1,288
5,80,1,30,1,1,1,0
5,105,1,40,3,14,1,54
5,80,1,35,10,2,2,0
6,122,1,26,1,1,1,0
4,74,0,55,1,6,2,0
0,120,0,52,2,42,1,2
5,102,1,25,2,11,1,0
11,93,1,60,1,1,1,0
0,79,1,22,2,5,5,0
4,2,0,35,21,2,1,0
1,118,1,38,2,1,1,0
1,30,0,65,3,71,2,323
10,110,0,55,14,3,1,0
4,74,0,255,5000,4,2,358
4,121,1,23,2,3,1,0
5,101,1,25,1,4,1,0
5,102,0,55,2,33,1,8
1,135,0,49,6,16,1,0
11,4,0,39,4,14,1,0
9,1,1,20,1,3,1,0
1,118,1,26,4,5,4,0
0,120,0,59,2,7,1,279
5,101,0,58,2,1,1,0
1,32,1,17,7,5,1,0
5,101,1,39,5,37,1,0
10,111,0,96,3,90,3,321
1,32,0,80,7,1,1,0
5,80,0,52,7,4,2,0
1,30,0,42,2,3,1,0
1,32,1,50,3,25,2,25
1,118,1,48,2,238,1,167
1,32,1,25,3,11,2,0
6,94,1,39,2,21,1,1
10,110,0,50,1,3,1,0
10,110,1,30,3,23,2,0
6,97,0,49,2,1,1,0
4,85,1,15,7,4,1,0
6,96,0,80,1,7,2,0
5,80,1,13,1,1,1,0
1,134,1,37,3,9,5,0
6,49,0,81,5,19,1,0
4,121,0,69,3,6,1,0
0,120,0,75,3,27,1,311
4,2,1,55,1,176,1,75
1,32,1,28,4,1,1,0
1,115,0,79,1,17,7,348
5,101,1,25,1,1,1,0
1,115,1,54,1,5,7,365
6,97,0,80,5,1,1,0
1,118,0,30,7,2,1,0
1,135,0,30,7,2,1,0
1,53,1,35,3,7,1,0
5,80,1,30,2,5,1,0
1,118,1,70,2,2,1,0
0,27,0,80,10,1,3,17
1,32,0,120,5,1,1,0
0,120,0,96,3,77,3,326
11,50,1,55,1,17,1,0
4,18,0,35,10,1,1,0
6,90,1,20,14,11,2,0
6,90,1,20,6,1,2,0
6,91,0,35,5,41,1,289
6,97,0,75,1,7,1,0
0,120,0,96,3,83,3,330
5,101,1,28,1,102,1,173
5,80,0,59,4,16,1,361
4,2,0,75,3,6,1,0
11,8,0,42,2,7,1,0
0,129,1,36,2,12,1,0
6,95,0,60,28,37,3,295
6,97,0,120,3,1,1,0
6,97,1,35,1,1,1,0
1,53,1,20,50,9,1,0
4,74,1,22,1,1,1,0
5,102,1,40,1,79,1,362
5,101,0,55,1,3,1,0
4,74,1,14,14,6,3,0
1,118,0,40,7,1,1,0
6,97,1,34,3,117,1,38
5,105,0,50,5,1,1,0
0,130,0,299,2,12,2,364
0,27,1,31,1,22,2,355
4,119,0,60,14,8,1,0
4,73,1,20,2,3,1,0
1,135,0,75,5,4,1,0
1,32,0,65,1,6,1,0
5,80,1,30,2,3,2,0
10,110,1,31,5,16,1,0
5,101,0,95,3,8,1,0
10,110,0,69,30,14,1,279
1,135,0,60,12,2,1,0
5,80,0,48,1,156,1,283
1,135,0,65,5,6,1,0
11,4,0,79,2,19,1,5
2,29,1,50,2,23,1,0
10,111,1,40,3,1,1,36
10,110,1,55,1,207,5,239
4,121,0,30,7,2,1,0
5,80,1,25,3,1,1,0
1,52,2,29,2,2,1,170
4,2,0,120,4,23,1,306
4,74,0,60,2,66,1,145
10,117,1,42,2,144,1,53
1,135,0,85,14,4,1,276
5,101,0,100,3,4,1,0
1,118,1,23,3,4,1,0
1,32,1,18,1,3,2,0
1,32,1,24,2,11,2,0
1,30,0,50,1,1,1,0
5,105,0,79,3,141,1,326
1,135,0,80,1,5,1,0
4,92,1,16,1,1,2,0
4,92,1,20,1,1,2,0
1,32,1,35,2,5,1,0
5,102,1,21,13,3,2,0
1,32,1,16,1,1,1,0
6,95,1,30,20,2,1,0
6,97,1,38,1,52,1,345
2,76,1,20,3,191,1,53
1,118,1,27,3,1,1,0
10,111,1,24,6,10,1,0
4,18,0,65,14,12,1,0
1,134,1,50,1,10,1,0
5,102,1,25,3,3,1,0
1,134,1,30,4,17,5,0
6,95,0,97,4,69,2,151
10,110,1,27,2,3,2,0
1,32,0,40,5,2,1,0
4,18,0,119,1,74,3,347
1,135,0,95,2,6,1,0
4,73,1,26,4,12,1,3
0,106,1,70,3,1,3,0
11,15,1,23,2,30,1,316
5,105,0,60,2,18,1,0
4,85,1,24,1,37,1,250
5,80,0,85,1,1,1,0
1,135,0,200,2,130,3,159
6,97,1,40,4,2,1,0
5,105,0,55,3,5,1,0
6,49,1,35,3,1,1,0
11,4,0,46,1,7,1,0
1,32,0,60,2,1,1,0
1,32,1,29,10,1,1,0
1,118,0,35,3,28,1,0
4,2,2,24,1,40,43,252
4,74,1,55,3,6,1,0
5,102,1,25,3,9,1,0
1,52,1,19,1,1,1,0
4,18,0,75,4,1,1,0
4,92,1,32,3,2,1,0
6,122,0,55,6,1,1,0
5,101,1,20,14,3,2,0
6,96,1,24,6,5,1,6
1,52,0,47,62,1,1,305
3,12,2,20,2,18,1,332
6,94,0,35,1,1,2,0
4,18,1,34,3,76,1,335
4,74,1,19,3,3,1,0
4,121,1,23,2,40,2,2
4,85,0,49,2,3,1,0
0,120,0,88,7,28,1,168
5,105,0,35,4,1,1,0
5,101,1,30,3,3,1,0
6,49,1,38,3,7,2,334
10,110,1,29,3,7,1,0
1,134,0,15,5,3,1,0
1,32,0,85,21,1,1,0
6,97,1,34,1,53,1,166
4,18,0,595,3,40,1,364
1,32,0,42,2,20,1,37
4,2,0,118,5,51,1,38
9,26,1,45,2,10,1,364
4,2,0,40,15,2,2,0
11,4,1,17,2,20,1,0
6,122,1,20,4,1,1,0
1,135,0,50,7,1,1,0
1,135,1,28,5,3,1,0
5,105,1,29,3,6,1,0
4,2,1,55,1,7,1,116
6,95,0,50,6,2,1,0
5,101,0,55,105,7,1,0
5,101,0,50,2,7,1,0
1,118,0,65,3,3,1,0
1,135,1,38,3,2,1,0
6,98,0,97,2,115,1,133
1,135,0,130,1,3,2,0
10,33,0,45,2,9,1,0
1,134,1,28,4,1,1,0
1,30,1,38,1,12,5,0
4,121,1,12,3,4,2,0
5,101,1,29,60,16,1,71
1,32,0,70,4,1,1,3
6,94,0,100,1,63,1,192
5,101,0,68,10,3,1,0
1,118,0,45,2,25,2,0
5,80,1,25,1,1,1,0
1,32,0,95,1,105,5,322
1,115,0,55,2,4,1,0
1,32,0,85,1,32,5,302
5,80,1,18,4,3,1,252
4,121,0,35,5,1,1,0
0,106,1,90,1,1,3,0
4,121,1,17,1,17,1,0
1,118,0,50,3,22,2,6
0,79,0,50,7,1,1,0
4,2,1,23,1,11,1,0
4,121,0,65,2,1,1,0
1,115,0,80,3,44,1,0
1,118,1,50,5,10,1,0
1,52,0,60,3,7,1,7
6,97,0,33,90,12,1,339
1,135,0,91,3,2,1,0
0,79,0,50,3,1,2,0
9,1,1,15,2,1,1,0
6,94,1,59,1,59,1,355
10,110,1,65,1,209,5,242
4,18,1,35,3,4,1,0
10,110,1,65,1,217,5,221
10,110,1,75,1,166,5,229
4,74,1,35,1,2,1,0
1,115,1,31,3,5,1,0
4,74,0,69,3,9,1,0
1,118,1,20,4,2,1,0
6,95,1,45,1,2,1,0
10,111,1,25,4,2,1,0
1,135,1,59,2,45,2,357
10,111,1,30,1,3,1,0
10,111,1,20,3,43,2,317
5,102,1,35,2,18,2,0
4,73,0,49,2,4,1,0
4,18,1,22,14,2,1,0
1,32,1,65,2,1,1,0
5,102,1,24,4,5,3,0
10,110,0,59,2,121,1,53
1,53,0,70,1,4,1,0
5,102,1,20,1,2,1,0
1,52,1,35,2,58,1,35
9,88,0,72,5,1,1,0
1,118,1,29,1,2,1,0
1,32,1,36,3,1,1,0
5,101,0,60,2,1,1,35
1,118,1,25,3,8,1,0
10,111,1,24,3,1,1,0
7,87,1,24,3,8,1,82
6,95,0,95,60,6,1,177
1,118,1,30,3,3,2,0
0,79,0,40,10,12,1,159
2,5,1,38,2,23,4,315
4,2,1,30,1,2,2,0
1,30,0,33,3,10,1,0
4,2,1,22,1,2,2,0
1,135,0,40,8,1,1,0
4,92,1,45,2,4,2,0
4,17,1,70,7,19,1,26
7,125,1,48,1,34,1,302
1,115,1,45,4,18,1,0
0,39,0,165,3,18,1,329
10,110,1,55,1,133,5,251
5,101,0,100,1,1,1,0
6,90,0,79,5,1,1,0
6,94,1,39,3,10,1,0
4,74,1,38,1,36,1,354
10,111,0,140,3,8,1,0
5,101,1,30,1,1,1,0
1,52,1,33,1,8,2,0
1,118,1,50,1,23,1,190
5,102,1,30,1,184,1,306
1,118,0,70,6,13,1,0
6,98,1,35,2,172,1,47
4,73,1,45,4,41,1,321
5,101,1,45,2,1,1,0
0,120,1,25,2,55,4,169
1,118,1,35,1,9,1,310
5,80,0,60,2,1,1,0
1,30,0,70,5,3,1,0
5,102,0,59,2,8,1,0
1,118,1,37,3,27,1,0
5,80,0,80,3,54,2,345
6,95,0,45,7,3,1,0
1,32,1,16,7,2,1,0
1,32,0,54,6,9,1,0
6,49,0,140,3,16,1,0
4,2,0,177,1,12,1,0
1,53,0,85,1,3,1,0
1,135,0,35,2,17,1,0
1,135,0,105,2,56,1,44
1,118,0,67,3,5,1,0
1,32,0,35,5,1,1,0
6,49,1,22,4,5,2,0
5,102,1,34,2,3,1,0
6,97,0,85,10,26,3,1
4,74,1,30,3,1,1,0
5,102,1,30,3,1,1,0
4,85,1,25,5,2,1,0
1,32,0,45,4,8,1,0
1,30,1,42,2,107,2,342
5,105,1,15,2,1,1,0
5,102,1,24,2,9,1,2
5,80,0,60,10,4,1,0
1,52,0,46,4,2,1,0
4,85,0,240,1,26,3,306
9,132,0,75,60,9,2,190
5,102,1,40,5,4,2,334
5,80,1,17,3,1,1,0
1,32,1,30,4,2,1,0
4,18,0,50,4,1,1,0
1,32,1,65,21,23,1,364
0,10,1,45,2,99,2,305
1,32,0,100,4,3,1,0
1,118,0,36,65,1,2,262
5,105,1,24,3,15,1,0
1,134,1,30,3,4,1,0
1,32,0,40,21,1,1,0
6,94,0,150,3,37,1,1
6,91,0,80,5,5,1,147
6,49,0,73,3,14,1,0
6,98,0,89,2,14,1,0
0,27,0,89,5,50,1,0
11,11,0,115,2,3,2,352
4,119,1,25,3,14,2,0
6,123,0,45,4,30,1,118
0,79,1,25,5,4,5,0
4,121,2,33,3,1,1,0
4,74,1,31,2,1,1,0
11,4,1,25,2,20,1,47
9,88,1,59,7,2,1,251
4,119,1,24,1,8,1,0
11,11,0,50,2,2,1,0
4,73,1,40,2,1,1,0
6,49,0,95,6,3,1,0
4,18,0,90,1,2,1,0
4,74,1,25,14,4,1,0
1,135,1,25,8,1,1,0
1,118,0,80,4,7,1,0
4,17,1,33,5,3,1,0
1,135,1,39,2,33,1,8
2,7,0,67,6,1,1,0
0,27,0,69,2,5,1,0
4,100,0,70,3,11,1,0
6,49,1,39,3,137,1,6
1,118,0,89,2,92,3,45
5,80,0,55,5,7,1,2
6,97,1,34,2,84,2,43
4,18,1,50,2,11,1,2
5,105,1,24,2,8,1,0
1,32,0,30,10,4,1,0
5,80,1,34,2,9,1,338
1,135,0,98,2,16,1,0
6,95,0,115,1,89,1,19
6,49,0,42,4,1,1,0
5,80,0,55,2,5,2,0
1,115,1,50,2,3,1,0
10,111,0,95,5,18,1,5
2,7,1,90,2,14,1,365
6,94,1,15,2,1,1,0
0,10,1,30,2,34,1,0
4,18,0,89,2,3,1,0
4,121,1,23,1,6,1,15
6,49,0,120,4,9,1,257
1,135,1,50,2,2,1,0
5,80,1,22,3,2,1,0
5,80,2,30,2,2,1,0
5,101,0,55,5,10,1,8
1,32,1,30,1,3,1,0
1,118,1,41,3,8,3,0
1,135,0,25,7,3,1,0
10,111,0,48,14,1,1,0
0,106,1,42,3,1,1,0
4,2,1,75,1,4,1,0
4,2,1,30,2,9,1,29
6,97,1,49,5,14,1,35
1,30,0,95,3,3,2,0
6,49,0,59,3,6,1,0
5,102,1,35,2,47,1,356
5,80,1,120,2,7,1,8
5,80,1,40,3,9,1,0
1,134,1,29,6,9,1,0
6,97,0,79,3,185,1,275
4,121,1,22,2,2,1,0
1,32,0,50,2,7,1,0
11,0,1,30,2,1,1,279
1,115,1,28,3,6,1,0
1,134,0,129,2,105,1,175
6,97,1,39,3,3,1,0
9,132,0,70,4,19,1,10
1,118,1,45,3,1,1,0
1,135,0,129,4,27,1,96
6,94,1,27,1,1,1,0
0,79,0,85,2,24,2,118
0,44,1,49,2,48,1,310
5,80,1,31,1,2,1,0
11,9,0,50,2,67,1,249
4,100,1,45,2,47,1,0
5,80,0,85,2,10,1,5
2,76,0,145,3,16,1,11
0,10,1,50,1,14,1,334
10,111,1,25,2,2,1,0
1,118,1,45,1,37,1,289
0,120,1,25,3,6,1,0
4,18,1,50,1,1,1,0
5,105,1,43,25,3,19,177
6,97,0,65,1,5,1,0
5,101,1,40,10,5,1,158
4,73,1,70,1,161,1,0
5,80,1,20,2,2,1,0
1,32,1,35,2,40,1,5
10,110,1,33,15,12,1,0
9,26,0,50,5,1,1,0
0,27,0,85,60,28,1,259
4,2,2,19,1,55,43,252
5,80,0,43,6,5,1,0
4,74,1,24,6,14,1,0
10,33,0,80,2,125,1,282
9,26,1,57,1,27,1,304
6,98,1,25,3,25,1,133
1,135,1,44,2,48,2,267
1,52,0,120,1,1,1,0
10,111,0,40,3,12,1,0
5,101,1,28,2,5,1,0
6,98,0,48,3,1,1,0
5,102,1,20,1,1,1,0
6,97,1,52,1,14,1,0
5,102,0,49,2,2,1,0
4,2,1,75,2,26,1,4
5,102,1,20,5,7,1,0
1,135,1,34,4,39,1,73
10,111,1,30,3,4,1,0
2,7,1,20,2,3,1,0
11,4,0,35,5,7,1,0
4,121,0,60,2,3,1,0
5,105,0,50,3,1,1,0
2,7,0,30,4,2,1,0
9,107,1,29,5,20,3,333
10,33,1,39,6,19,3,331
6,98,0,40,15,1,1,0
4,18,0,80,2,1,1,0
6,97,0,60,5,11,1,0
5,80,0,50,1,5,1,0
4,121,1,16,4,2,2,0
0,27,1,60,1,58,3,156
4,85,1,30,3,32,2,5
10,110,0,48,2,14,1,0
4,85,1,20,3,16,1,0
6,90,1,37,3,22,1,353
1,134,0,60,2,7,1,0
0,79,1,25,1,1,5,0
1,118,0,37,1,2,1,0
5,105,0,50,1,1,1,0
